CPU Utilization: 50.00%
Cores used: 2
Cores available: 2

--------------------------------
Running processes:
process155     (11/04/2024 03:27:58PM)  Core: 1        102            /1000

Finished processes:
process100     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process101     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process102     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process103     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process104     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process105     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process106     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process107     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process108     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process109     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process110     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process111     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process112     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process113     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process114     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process115     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process116     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process117     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process118     (11/04/2024 03:27:55PM)  Finished       1000           /1000
process119     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process120     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process121     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process122     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process123     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process124     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process125     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process126     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process127     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process128     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process129     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process130     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process131     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process132     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process133     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process134     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process135     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process136     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process137     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process138     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process139     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process140     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process141     (11/04/2024 03:27:56PM)  Finished       1000           /1000
process142     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process143     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process144     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process145     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process146     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process147     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process148     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process149     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process150     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process151     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process152     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process153     (11/04/2024 03:27:57PM)  Finished       1000           /1000
process154     (11/04/2024 03:27:57PM)  Finished       1000           /1000
--------------------------------

